id,title,release_date,moby_score,moby_url,platforms,genres,developers,publishers
9845,Final Fight 2,1993-05-22,7.14,https://www.mobygames.com/game/9845/final-fight-2/,"SNES, Wii, Wii U","Action, Side view, Martial arts, Beat 'em up / brawler, 2D scrolling, Regional differences","Capcom Co., Ltd.","Capcom Co., Ltd."
599,Mortal Kombat,1992-10,7.34,https://www.mobygames.com/game/599/mortal-kombat/,"DOS, Game Boy, SNES, Genesis, Amiga, SEGA CD, Game Gear, SEGA Master System, Arcade, Dedicated console, Antstream","Action, Side view, Martial arts, Fighting, Fantasy, 2D scrolling, Direct control","Midway Manufacturing Company, Midway Games, Inc.","Midway Games, Inc., Warner Bros. Interactive Entertainment Inc., Acclaim Entertainment, Inc., JAKKS Pacific, Inc, Virgin Games, Ltd., Tec Toy Indústria de Brinquedos S.A., Virgin Interactive Entertainment (Europe) Ltd."
3,Wing Commander,1990-09-27,7.93,https://www.mobygames.com/game/3/wing-commander/,"DOS, SNES, Amiga, SEGA CD, FM Towns","Action, Simulation, 1st-person, Sci-fi / futuristic, Space flight, Vehicular combat","ORIGIN Systems, Inc.","Ocean Software Ltd., Fujitsu Limited, Mindscape, Inc., SEGA Enterprises Ltd., ORIGIN Systems, Inc., GameTap LLC, ASCII Corporation"
38365,Jurassic Park,1993-11,6.99,https://www.mobygames.com/game/38365/jurassic-park/,SNES,"Action, 1st-person, Licensed, Diagonal-down, 2D scrolling","Ocean of America, Inc.","Playtronic Industrial Ltda., Jaleco Ltd., Ocean Software Ltd."
6797,ActRaiser 2,1993-10-29,7.15,https://www.mobygames.com/game/6797/actraiser-2/,SNES,"Action, Side view, Platform, Fantasy, 2D scrolling","Quintet Co., Ltd.","Enix Corporation, Enix America Corporation"
564,Out of This World,1991,7.6,https://www.mobygames.com/game/564/out-of-this-world/,"DOS, Windows, Windows 3.x, SNES, Genesis, Jaguar, Amiga, Atari ST, 3DO, Apple IIgs, Symbian, Zodiac, Macintosh","Action, Sci-fi / futuristic, Side view, Platform, Shooter, Puzzle elements, Fixed / flip-screen, Direct control",Delphine Software International,"Virgin Games, Inc., Electronic Arts Victor, Inc., Victor Musical Industries, Inc., Akella, Interplay Productions, Inc., Magic Productions, RGC, Delphine Software International, U.S. Gold Ltd., Interplay Productions Ltd., Telcogames Ltd., MacPlay"
682,Cool Spot,1993-12-10,7.5,https://www.mobygames.com/game/682/cool-spot/,"DOS, Game Boy, SNES, Genesis, Amiga, Game Gear, SEGA Master System","Action, Arcade, Side view, Platform, 2D scrolling","The Global Team, Virgin Games, Ltd.","Virgin Interactive Entertainment, Inc., Virgin Games, Ltd., Virgin Games, Inc., Virgin Interactive Entertainment (Japan), Inc., Virgin Interactive Entertainment (Europe) Ltd."
1068,Doom,1993-12-10,7.62,https://www.mobygames.com/game/1068/doom/,"Linux, DOS, Windows, Game Boy Advance, SNES, Jaguar, SEGA 32X, 3DO, PC-98, Windows Mobile","Action, 1st-person, Sci-fi / futuristic, Shooter, Horror, Direct control","id Software, Inc.","Basho House, Activision Publishing, Inc., Imagineer Co., Ltd., Simon & Schuster Interactive, SEGA of America, Inc., SEGA Enterprises Ltd., id Software, Inc., Micro Star Software, Atari Corporation, Ocean Software Ltd., SoftKey Multimedia Inc., Art Data Interactive, Inc., Tec Toy Indústria de Brinquedos S.A., Williams Entertainment, Inc."
40324,Wolfenstein 3D,1994-02-10,7.26,https://www.mobygames.com/game/40324/wolfenstein-3d/,"SNES, Jaguar, Macintosh","Action, 1st-person, Shooter, World War II","id Software, Inc.","Imagineer Co., Ltd., MacPlay, Atari Corporation"
7197,Final Fantasy: Mystic Quest,1992-10,6.43,https://www.mobygames.com/game/7197/final-fantasy-mystic-quest/,"SNES, Wii, Wii U","Top-down, Role-playing (RPG), Fantasy, Turn-based, 3rd-person (Other), Japanese-style RPG (JRPG)","Square Co., Ltd.","Square Soft, Inc., Square Enix Co., Ltd., Square Co., Ltd., Square Enix Limited"
31028,Batman Forever,1995-08,5.93,https://www.mobygames.com/game/31028/batman-forever/,"DOS, SNES, Genesis","Action, Side view, Platform, Martial arts, Licensed, Beat 'em up / brawler","Probe Entertainment Ltd., Acclaim Studios Limited","Acclaim Entertainment, Inc., Tec Toy Indústria de Brinquedos S.A."
